sentence,reference_summary
"URL: https://www.sinarharian.com.my/article/701600/berita/sukan/701600-some-article-title Title: Salah perkukuh cengkaman Liverpool di tangga teratas Liga Juara-Juara Content: GERGASI Liga Perdana Inggeris, Liverpool mengekalkan rekod 100 peratus tanpa kalah dalam Liga Juara-Juara musim ini apabila meraih kemenangan ke atas kelab La Liga Sepanyol, Girona 1-0 di Stadium Montilivi, Girona.","Liverpool kekal tanpa kalah dalam Liga Juara-Juara musim ini selepas menewaskan Girona 1-0 di Stadium Montilivi, memastikan rekod 100 peratus mereka terpelihara."
"Gol tunggal perlawanan dijelmakan menerusi penalti penyerang sensasi The Reds, Mohamed Salah pada minit ke-63 memastikan Liverpool mengumpul 18 mata selepas mengharungi enam perlawanan Kemenangan itu juga mengekalkan Liverpool kendalian Arne Slot di tangga teratas liga, lima mata di depan Bayer Leverkusen dan Aston Villa, manakala Girona pula kekal dengan tiga mata di tangga ke-30.","Gol tunggal perlawanan dijaringkan oleh Mohamed Salah menerusi penalti pada minit ke-63, membantu Liverpool mengumpul 18 mata dan mengekalkan kedudukan teratas liga."
"Girona beraksi di laman sendiri tampil agresif sepanjang 45 minit pertama bagi menghindari kekalahan kelima dalam pertandingan itu, namun Liverpool berjaya menyerap tekanan berusaha menyaingi Blanquivermells kendalian Michel.","Girona bermain agresif pada separuh masa pertama untuk mengelak kekalahan kelima berturut-turut, tetapi Liverpool berjaya mengatasi tekanan mereka."
"Penjaga gol Liverpool, Alisson, membuat penampilan pertamanya sejak awal Oktober selepas kecederaan hamstring, tampil cemerlang mengemudi benteng terakhir Liverpool apabila menafikan beberapa percubaan jentera Girona untuk mendahului permainan.","Penjaga gol Liverpool, Alisson, kembali selepas kecederaan dan melakukan beberapa penyelamatan penting untuk memastikan kemenangan pasukannya."
"Separuh masa kedua, Liverpool yang menguasai permainan bergelut apabila Girona menampilkan corak bertahan menyaksikan pasukan pelawat akhirnya mendapat sepakan penalti selepas Luis Diaz dikasari dan ia disempurnakan Salah.","Liverpool menguasai separuh masa kedua, dengan Salah menjaringkan gol penalti selepas Luis Diaz dikasari oleh pemain Girona."
"Enam kemenangan daripada enam perlawanan, anda tidak boleh meminta yang lebih baik daripada itu.

","Liverpool mencatat enam kemenangan daripada enam perlawanan, satu pencapaian yang sukar ditandingi oleh pasukan lain."
Ia tidak mudah untuk dilakukan atau akan ada lebih banyak pasukan yang melakukannya selepas ini.,"Kemenangan sempurna ini bukan sesuatu yang mudah dicapai, atau banyak pasukan akan melakukannya selepas ini."
"Sejujurnya, kami telah bermain jauh lebih baik daripada malam ini, kami tidak berada di tahap tertinggi, tetapi pada ketika ini ia mengenai memenangi perlawanan dan memastikan kelayakan, dan kami berjaya, kata pertahanan Liverpool, Andy Robertson.","Andy Robertson berkata bahawa meskipun Liverpool tidak bermain pada tahap terbaik, mereka tetap berjaya menang dan mengesahkan kelayakan."
"Sementara itu, pertahanan Girona, Alejandro Francés Torrijo berkata: ""Kami beraksi pada tahap sehabis baik, kami mempunyai peluang dan perlu menerima hakikat bahawa kami kalah.","Alejandro Francés Torrijo dari Girona mengakui bahawa pasukannya beraksi dengan baik, tetapi perlu menerima kekalahan."
Sudah tiba masanya untuk meneruskan baki saingan.,Girona kini perlu fokus untuk meneruskan baki perlawanan dalam saingan Liga Juara-Juara.
"Perkara utama ialah mempunyai peluang menentang pasukan yang hebat dan kami memilikinya. LIGA JUARA-JUARA Keputusan FC Dynamo Zagreb 0-0 Celtic FC FC Girona 0-1 Liverpool FC Brest FC 1-0 PSV Eindhoven FC Shaktar Donetsk 1-5 Bayern Munich FC Club Brugge 2-1 Sporting De Lisbon Red Bull Salzburg 0-3 Paris Saint-Germain Red Bull Leipzig 2-3 Aston Villa FC Bayern Leverkusen 1-0 Inter Milan Atalanta 2-3 Real Madrid URL: https://www.sinarharian.com.my/article/701620/berita/sukan/701620-some-article-title Title: Liverpool menang, tapi Slot tak puas hati Content: PENGENDALI Liverpool, Arne Slot menuntut persembahan lebih baik daripada pemainnya selepas sekadar meraih kemenangan 1-0 ke atas Girona dalam aksi Liga Juara-Juara pada Rabu.",Arne Slot menyatakan pentingnya peluang menentang pasukan hebat dan Liverpool berjaya meraih kemenangan dalam Liga Juara-Juara.
"Liverpool tidak beraksi pada tahap terbaik mereka di Estadi Montilivi, tetapi berjaya memperoleh kemenangan hasil sepakan penalti Mohamed Salah pada separuh masa kedua selepas Donny van de Beek mengasari Luis Díaz dalam kotak penalti.",Liverpool menang 1-0 ke atas Girona melalui sepakan penalti Mohamed Salah selepas Luis Díaz dikasari di dalam kotak penalti.
"Kemenangan itu bermakna Liverpool meneruskan rekod sempurna mereka di Eropah selepas memenangi kesemua enam perlawanan Liga Juara-Juara musim ini, tetapi Slot menegaskan prestasi mereka perlu berada pada tahap terbaik jika bercita-cita untuk menjuarai pertandingan itu.","Kemenangan ini mengekalkan rekod sempurna Liverpool dalam Liga Juara-Juara, tetapi Slot menegaskan mereka perlu beraksi lebih baik untuk menjuarai pertandingan."
