Word,Stemmed Word,Definitions,Part of Speech,Contexts,Synonyms,Antonyms,Derived Words,Hypernyms,Hyponyms,Meronyms,Holonyms,Sentiment_Score,Sentimental_Label
bersiap,siap,"[ber.siap]  | برسياڤ Definisi : Id jaga sedia!, jaga baik-baik! (perintah dlm tentera), (Kamus Dewan Edisi Keempat), [ber.siap]  | برسياڤ Definisi : 1. = ~ sedia = ~ lengkap = bersiap-siap berjaga-jaga utk menghadapi sesuatu, ber­waspada: setelah kelihatan itu, maka masing-masing pun ~lah menghadapi perahu perom­pak itu, 2. berkemas atau bersedia mengaturkan sesuatu: maka ia pun ~lah menghamparkan tikar yg cantik lalu menyuruh tamu naik, 3. Id siap (perintah dlm tentera), (Kamus Dewan Edisi Keempat), [ber.siap]  | برسياڤ Definisi : 1 bekerja utk mengemaskan atau utk mengatur sesuatu: Encik Ahmad ~ menghamparkan tikar lalu mempersilakan tetamu naik. 2 bersedia menghadapi sesuatu, berjaga-jaga, berwaspada: Masing-masing pun ~ menunggu serangan musuh. (Kamus Pelajar Edisi Kedua)",kata kerja,,selesai,,"bersiap, bersiap-siap, menyiapkan, persiapan, penyiapan","berkisar, meminda, mendidik","memberi, menggurdi, mengukuhkan",,,0.0,Neutral
india,,Definisi : bangsa yg nenek moyang mereka berasal dr benua India. (Kamus Dewan Edisi Keempat),,,,,,,,"Thar_Desert, Sungai_Ganges, Manipur","Asia, Negara-Negara_Komanwel, OPEC",0.1160548105835914,Positive
tekad,tekad,"[té.kad]  | تيکد Definisi : (tékad) kemahuan yg sungguh-sungguh (utk mencapai sesuatu), kepercayaan yg sungguh-sungguh, kebulatan hati: bulatlah sudah ~ nya utk ke luar negeri, memasang ~ Id bernazar, berkaul, berniat, membulatkan ~ menetapkan kemahuan (utk berbuat se­suatu), bertekad bermaksud, berazam, berniat, ketekadan kesungguhan (hati): ~ utk ber-satu. (Kamus Dewan Edisi Keempat), [té.kad]  | تيکد Definisi : /tékad/ kemahuan yg kuat utk mencapai sesuatu, azam yg sungguh-sungguh. bertekad berazam, bermak­sud, berniat. (Kamus Pelajar Edisi Kedua)",kata nama,,kebulatan hati,,bertekad,"tekad, ciri, penentuan","tekad, kedegilan, kekukuhan",,,0.0,Neutral
memperbaiki,,"[mem.per.bai.ki]/[mem.per.bai/.ki]  | ممڤرباءيقي Definisi : sl berbuat baik kpd: Tuanku segala anak cucu patik sedia akan jadi hambalah Kebawah Duli Yang Dipertuan, hendaklah ia diperbaiki oleh anak cucu tuan hamba, (Kamus Dewan Edisi Keempat), [mem.per.bai.ki]/[mem.per.bai/.ki]  | ممڤرباءيقي Definisi : berbuat baik kpd, melakukan selayaknya kpd: Tuanku, segala anak cucu patik sedia akan jadi hambalah Kebawah Duli Yang Dipertuan, hendaklah ia diperbaiki oleh anak cucu tuan hamba. (Kamus Pelajar Edisi Kedua)",,,,,,"menjerumat, mempergilirkan, merajuki","meringankan, membantu, menjerumat",,,0.0,Neutral
kelemahan,lemah,"[ke.le.ma.han]  | کلمهن Definisi : perihal lemah: ia manusia biasa dan mempunyai berbagai-bagai ~ dan ke­kurangan, (Kamus Dewan Edisi Keempat), [ke.le.ma.han]  | کلمهن Definisi : keadaan atau hal lemah. (Kamus Pelajar Edisi Kedua)",kata sifat,,"lesu, lembam","cergas, cerdas","melemahkan, kelemahan","kesialan, ciri, kejahatan","tiada, kecelaan, restu",,,0.3837383985519409,Positive
giat,,"[giat]  | ݢيات Definisi : I sentiasa atau sering kali membuat sesuatu, aktif, cergas, cekatan, tangkas: kita mesti ~ bekerja, sejak awal tahun enam puluhan, Mohd Nor Azam ~ menulis ulasan tentang cerpen, bergiat berusaha dgn giat, bersungguh-sungguh, aktif: dia ~ dlm lapangan seni nyanyi, kanak-kanak itu tidak mahu ~ menjayakan usaha guru, menggiatkan, mempergiat, mempergiatkan menyebabkan bergiat, membangkitkan semangat utk berusaha: perkataan itu ~ usaha mereka, kegiatan 1. perihal atau keadaan giat, kecergasan, 2. aktiviti, penggiat pihak (bahan, orang, jentera, dsb) yg menggiatkan sesuatu, penggerak: tokoh dan ~ teater berkumpul utk membincangkan kegiatan teater tanah air. (Kamus Dewan Edisi Keempat), [giat]  | ݢيات Definisi : ejekan, cemuh: ~ dan cemuh kawan-kawannya tidak pernah dijawab, menggiat mengejek, mencemuh. (Kamus Dewan Edisi Keempat), [giat]  | ݢيات Definisi : rajin serta sungguh-sungguh membuat sesuatu, tangkas dan kuat, aktif: Anak-anak hendaklah dididik supaya ~ belajar. bergiat berusaha dgn sungguh-sunguh: Setelah tamat pengajiannya, ia ~ pula dlm lapangan politik. menggiatkan membangkitkan semangat supaya giat: Syarikat itu ~ orang-orang Melayu dlm lapangan perniagaan. mempergiat menjadikan lebih giat: Dia ~ usaha yg dijalankannya itu. kegiatan 1 hal atau keadaan giat, ketangkasan dan kekuatan (berusaha), keaktifan. 2 usaha atau kerja yg dilakukan, aktiviti: ~ luar sekolah. (Kamus Pelajar Edisi Kedua), [giat]  | ݢيات Definisi : kata(-kata) yg digunakan utk mengejek, mencemuh atau menyindir: Segala ~ dan cemuh tidak pernah dihiraukannya. menggiat mengeluarkan kata(-kata) utk mengejek, mencemuh, menyindir. (Kamus Pelajar Edisi Kedua)",,,,,,"ragam, hasrat, minat",,,,0.0,Neutral
memperkasakan,,"[mem.per.ka.sa.kan]  | ممڤرکاساکن Definisi : menjadikan hebat (unggul, kuat, terkenal, berdaulat, dominan dsb): usaha utk ~ industri minyak sawit perlu dilakukan segera, ~ bahasa Melayu, (Kamus Dewan Edisi Keempat), [mem.per.ka.sa.kan]  | ممڤرکاساکن Definisi : menjadikan perkasa (hebat, unggul dsb): Usaha dijalankan utk ~ bahasa Melayu. (Kamus Pelajar Edisi Kedua)",,,,,,,,,,0.1282219886779785,Positive
mencuri,,"[men.cu.ri]  | منچوري Definisi : 1. mengambil kepunyaan orang tidak dgn kebenarannya, memaling: kadang-kadang dia ~ duit ayahnya dan sebab itulah dia selalu dipukul, 2. = mencuri-curi mem­buat sesuatu dgn tidak diketahui orang atau dgn diam-diam (sembunyi-sembunyi, rahsia): ketika saya ~ melihat mukanya, nampak ia tersenyum, dia telah ~ pergi bersama-sama kawannya, ~ hati memikat hati, ~ masa menggunakan masa bekerja utk hal lain, ~ pandang memandang dgn cepat-cepat lalu menoleh ke tempat lain, ~ pekerja mengambil atau menarik pekerja (yg sedang berkhidmat dgn) sesebuah syarikat dll tanpa kerelaan majikan­nya, ~ tulang mengelakkan pekerjaan dgn tipu helah (kalau tidak diawasi tidak bekerja), (Kamus Dewan Edisi Keempat), [men.cu.ri]  | منچوري Definisi : 1 mengambil hak orang dgn tidak setahu atau dgn tidak mendapat kebenaran orang yg empunya: Orang yg ~ ayamnya itu telah ditangkap polis. 2 = mencuri-curi membuat atau melakukan sesuatu secara sem­bunyi-sembunyi: Dia ~ melihat gadis itu. (Kamus Pelajar Edisi Kedua)",,,,,,"terjadi, memenangi, berganjak","menyondang, menyalahgunakan, menggaet",,,-0.3161322772502899,Negative
perkembangan,kembang,"[per.kem.ba.ngan]  | ڤرکمبڠن Definisi : perihal (proses dsb) ber­kembang (menjadi maju atau tersebar, mem­biak, meluas, dsb), pertumbuhan, kemajuan: ~ bahasa dan kesusasteraan Melayu, dgn ~ perindustrian, banyaklah lagi hasil perusahaan yg dapat dikeluarkan, ~ politik, ~ ilmu pengetahuan, (Kamus Dewan Edisi Keempat), [per.kem.ba.ngan]  | ڤرکمبڠن Definisi : keadaan atau hal berkembang: ~ bahasa Melayu, ~ agama Islam. (Kamus Pelajar Edisi Kedua)",kata kerja,masakan,"mekar, muai","kuncup, batat","berkembang, mengembangkan, memperkembangkan, perkembangan, pengembangan","koloni, tambah, gerak","longgokan, usaha, perambatan",,,0.1786566078662872,Positive
bertekad,tekad,"[ber.té.kad]  | برتيکد Definisi : bermaksud, berazam, berniat, (Kamus Dewan Edisi Keempat), [ber.té.kad]  | برتيکد Definisi : berazam, bermak­sud, berniat. (Kamus Pelajar Edisi Kedua)",kata nama,,kebulatan hati,,bertekad,,"mengarik, menguasai, mengambil",,,0.0,Neutral
